WKT,ID,Color,Bateria_Li,Res_NumPla
"MULTILINESTRING Z ((441163.9757 4472400.099 0,441170.9505 4472401.4666 0,441176.0107 4472401.7401 0,441183.3958 4472401.7401 0,441195.5676 4472399.4152 0,441198.9866 4472398.3211 0,441206.5085 4472393.6712 0))",2317423,Azul,Línea,9
"MULTILINESTRING Z ((441124.0413 4472393.2609 0,441158.642 4472399.2784 0))",2317425,Azul,Línea,7
"MULTILINESTRING Z ((439112.0889 4476536.2822 0,439105.3728 4476487.064 0))",2317426,Azul,Línea,10
"MULTILINESTRING Z ((439322.7931 4476481.8875 0,439324.7406 4476513.2528 0))",2317429,Azul,Línea,7
"MULTILINESTRING Z ((439094.0456 4476406.9718 0,439092.943 4476399.2533 0))",2317433,Azul,Línea,1
"MULTILINESTRING Z ((439363.239 4476591.1594 0,439382.4057 4476589.8261 0))",2317443,Azul,Línea,4
"MULTILINESTRING Z ((441351.4057 4471776.4745 0,441377.7807 4471713.3495 0))",2317446,Azul,Línea,14
"MULTILINESTRING Z ((439417.3899 4476455.0257 0,439420.8141 4476515.3444 0))",2317453,Azul,Línea,13
"MULTILINESTRING Z ((439327.4386 4476472.4101 0,439330.4677 4476522.8513 0))",2317455,Azul,Línea,10
"MULTILINESTRING Z ((441577.1625 4471541.1609 0,441559.4139 4471583.5873 0))",2317456,Azul,Línea,9
"MULTILINESTRING Z ((441205.4144 4472330.8977 0,441207.1923 4472288.6384 0))",2317458,Azul,Batería,15
"MULTILINESTRING Z ((441440.2628 4471880.3337 0,441452.5803 4471862.0479 0))",2317460,Azul,Batería,8
"MULTILINESTRING Z ((442033.3685 4471693.7259 0,441979.6668 4471660.1737 0))",2317466,Azul,Batería,22
"MULTILINESTRING Z ((441971.1876 4471663.456 0,442029.7215 4471699.1052 0))",2317468,Azul,Batería,24
"MULTILINESTRING Z ((439537.7402 4476614.6383 0,439538.9349 4476634.6303 0))",2317469,Azul,Línea,4
"MULTILINESTRING Z ((439426.1557 4476513.0761 0,439423.8223 4476474.9094 0))",2317471,Azul,Línea,8
"MULTILINESTRING Z ((441986.3836 4471690.0401 0,442018.0134 4471712.554 0))",2317472,Azul,Batería,15
"MULTILINESTRING Z ((441212.6628 4472309.4261 0,441214.4407 4472286.1767 0))",2317478,Azul,Batería,9
"MULTILINESTRING Z ((440985.9646 4473150.1376 0,441006.935 4473157.2091 0))",2317484,Azul,Línea,4
"MULTILINESTRING Z ((441079.5572 4473078.8924 0,441076.472 4473074.7518 0))",2317498,Azul,Línea,1
"MULTILINESTRING Z ((439106.0745 4476198.7721 0,439110.6855 4476189.951 0))",2317501,Azul,Línea,2
"MULTILINESTRING Z ((441038.5569 4473020.599 0,441023.6994 4472999.9771 0))",2317502,Azul,Línea,5
"MULTILINESTRING Z ((441160.8465 4473073.5431 0,441155.9003 4473023.8657 0))",2317506,Azul,Línea,10
"MULTILINESTRING Z ((439514.0046 4476272.0656 0,439515.279 4476293.571 0))",2317507,Azul,Línea,4
"MULTILINESTRING Z ((440995.1181 4472958.7856 0,440987.0348 4472947.7856 0))",2317512,Azul,Línea,3
"MULTILINESTRING Z ((439477.4057 4476201.4927 0,439472.739 4476201.9094 0))",2317515,Azul,Línea,1
"MULTILINESTRING Z ((441136.7605 4472823.5431 0,441133.3196 4472787.9517 0))",2317520,Azul,Línea,7
"MULTILINESTRING Z ((439574.0153 4476192.3851 0,439584.1075 4476191.3601 0))",2317523,Azul,Línea,3
"MULTILINESTRING Z ((439641.2049 4476074.4551 0,439642.559 4476090.3053 0))",2317529,Azul,Línea,3
"MULTILINESTRING Z ((439507.2344 4476172.3444 0,439506.199 4476156.5737 0))",2317541,Azul,Línea,3
"MULTILINESTRING Z ((441548.5419 4472693.3685 0,441556.8235 4472692.6378 0))",2317544,Azul,Batería,3
"MULTILINESTRING Z ((441496.9039 4472697.0222 0,441544.4012 4472693.7339 0))",2317546,Azul,Batería,18
"MULTILINESTRING Z ((440852.8786 4472738.9558 0,440862.7024 4472738.0627 0))",2317550,Azul,Línea,2
"MULTILINESTRING Z ((440908.7904 4472737.6993 0,440935.5837 4472734.7764 0))",2317552,Azul,Batería,10
"MULTILINESTRING Z ((440741.4057 4472605.4511 0,440733.2807 4472593.9511 0))",2317558,Azul,Línea,3
"MULTILINESTRING Z ((440740.5136 4472507.2435 0,440746.9275 4472506.7564 0))",2317570,Azul,Línea,1
"MULTILINESTRING Z ((439524.3247 4476425.5614 0,439524.7807 4476430.8796 0))",2317573,Azul,Línea,1
"MULTILINESTRING Z ((440708.0381 4472556.0378 0,440699.1074 4472544.2655 0))",2317574,Azul,Línea,3
"MULTILINESTRING Z ((439534.7932 4476563.7422 0,439535.1914 4476568.9194 0))",2317575,Azul,Línea,1
"MULTILINESTRING Z ((440711.6104 4472560.9092 0,440718.1867 4472570.0835 0))",2317576,Azul,Línea,2
"MULTILINESTRING Z ((440940.9424 4472625.8981 0,440950.0765 4472722.1105 0))",2317578,Azul,Línea,20
"MULTILINESTRING Z ((439610.1266 4476188.9947 0,439604.4497 4476189.5466 0))",2317581,Azul,Línea,1
"MULTILINESTRING Z ((439776.3952 4476703.5281 0,439746.0008 4476705.4838 0))",2317583,Azul,Línea,6
"MULTILINESTRING Z ((441124.825 4472700.3173 0,441120.6315 4472659.4571 0))",2317586,Azul,Línea,8
"MULTILINESTRING Z ((439843.921 4476699.5652 0,439831.7757 4476700.3597 0))",2317587,Azul,Línea,2
"MULTILINESTRING Z ((441109.2336 4472539.9947 0,441104.0723 4472491.9302 0))",2317592,Azul,Línea,9
"MULTILINESTRING Z ((441131.5992 4472769.4571 0,441130.9541 4472763.0054 0))",2317598,Azul,Línea,1
"MULTILINESTRING Z ((441382.6743 4472969.3116 0,441379.3685 4472973.4438 0))",2317606,Azul,Línea,1
"MULTILINESTRING Z ((441950.4057 4472459.7245 0,441835.0307 4472539.0995 0))",2317610,Azul,Línea,30
"MULTILINESTRING Z ((440263.2631 4476526.9 0,440262.5297 4476510.5205 0))",2317613,Azul,Línea,3
"MULTILINESTRING Z ((442610.4245 4471633.2699 0,442613.0451 4471635.4537 0))",2317618,Azul,Batería,1
"MULTILINESTRING Z ((442630.5154 4471650.2161 0,442618.3735 4471640.4327 0))",2317620,Azul,Batería,6
"MULTILINESTRING Z ((442639.1632 4471642.1797 0,442617.7621 4471624.0106 0))",2317622,Azul,Batería,11
"MULTILINESTRING Z ((440258.2515 4476384.0079 0,440257.7626 4476367.9952 0))",2317623,Azul,Línea,3
"MULTILINESTRING Z ((442637.6782 4471644.8003 0,442641.5217 4471647.8576 0))",2317624,Azul,Línea,1
"MULTILINESTRING Z ((442669.3868 4471671.0057 0,442665.456 4471667.7737 0))",2317626,Azul,Línea,1
"MULTILINESTRING Z ((442644.672 4471650.3806 0,442661.9088 4471664.8424 0))",2317628,Azul,Batería,9
"MULTILINESTRING Z ((440173.3151 4476275.3991 0,440183.4194 4476274.5842 0))",2317629,Azul,Línea,2
"MULTILINESTRING Z ((439684.5307 4476182.2011 0,439741.2807 4476177.2011 0))",2317631,Azul,Línea,13
"MULTILINESTRING Z ((439725.4057 4476053.9094 0,439737.4057 4476053.4094 0))",2317635,Azul,Línea,2
"MULTILINESTRING Z ((442774.6017 4471818.4114 0,442782.3323 4471788.5372 0,442782.8564 4471784.0822 0,442781.5461 4471779.6273 0,442778.6635 4471775.1724 0,442773.8155 4471770.9795 0))",2317638,Azul,Línea,11
"MULTILINESTRING Z ((442778.9256 4471766.1315 0,442785.4769 4471772.0277 0,442788.2285 4471777.3998 0,442789.8008 4471784.2133 0,442789.5388 4471789.5854 0,442780.6289 4471820.2458 0))",2317640,Azul,Batería,22
"MULTILINESTRING Z ((442706.3365 4471975.6004 0,442709.5685 4471985.4711 0,442710.7041 4471990.3628 0,442711.1408 4471992.8087 0,442711.0535 4471995.3418 0,442710.442 4472000.1462 0))",2317654,Azul,Batería,10
"MULTILINESTRING Z ((440254.4623 4476246.2497 0,440253.7289 4476220.336 0))",2317655,Azul,Línea,5
"MULTILINESTRING Z ((442617.7934 4471691.8868 0,442636.1025 4471671.4237 0))",2317658,Azul,Línea,6
"MULTILINESTRING Z ((442605.028 4471738.3006 0,442563.5071 4471787.7761 0))",2317660,Azul,Línea,13
"MULTILINESTRING Z ((440000.9057 4476152.7427 0,440020.739 4476150.9927 0))",2317665,Azul,Línea,4
"MULTILINESTRING Z ((440103.9057 4476143.4094 0,440125.489 4476141.4094 0,440128.239 4476140.8261 0,440130.3223 4476139.9094 0,440133.4057 4476138.4094 0))",2317671,Azul,Línea,6
"MULTILINESTRING Z ((442548.2973 4471818.2831 0,442544.9756 4471822.3041 0))",2317674,Azul,Línea,1
